year,state,SDP,SDP_NORM
2003,TAMIL NADU,132281,302043.1214
2003,TRIPURA,6136,9120.792617
2003,UTTAR PRADESH,177054,388468.5696
2003,UTTARAKHAND,15553,38073.35156
2003,WEST BENGAL,152388,291369.521
2003,ANDAMAN & NICOBAR ISLANDS,1048,1560.584918
2003,CHANDIGARH,5804,9774.573171
2003,DELHI,62694,148804.8432
2003,PUDUCHERRY,4053,8684.462772
2003,TELANGANA,,
2004,ANDHRA PRADESH,158714,215455.8738
2004,ARUNACHAL PRADESH,2222,6544.260887
2004,ASSAM,39207,91169.23716
2004,BIHAR,60045,123786.4825
2004,GOA,6891,17958.71777
2004,GUJARAT,125599,272449.2629
2004,HARYANA,69688,147481.8654
2004,HIMACHAL PRADESH,17076,37776.38946
2004,JAMMU & KASHMIR,16519,44760.52215
2004,JHARKHAND,36886,90933.94773
2004,KARNATAKA,109775,332758.6519
2004,KERALA,82590,194266.8982
2004,MADHYA PRADESH,77874,166392.4395
2004,CHHATTISGARH,31377,85010.50532
2004,MAHARASHTRA,272860,599028.1155
2004,MANIPUR,3540,8256.254367
2004,MEGHALAYA,4270,10229.22333
2004,MIZORAM,1839,3489.125993
2004,NAGALAND,4100,6157.919923
2004,ORISSA,51020,133986.1144
2004,PUNJAB,72587,150374.5503
2004,RAJASTHAN,90445,219623.7837
2004,SIKKIM,1102,3236.623131
2004,TAMIL NADU,147994,337921.3168
2004,TRIPURA,6639,9868.471673
2004,UTTAR PRADESH,185920,407921.1791
2004,UTTARAKHAND,17599,43081.90794
2004,WEST BENGAL,162491,310686.7
2004,ANDAMAN & NICOBAR ISLANDS,1088,1620.149228
2004,CHANDIGARH,6397,10773.25027
2004,DELHI,69479,164909.1093
2004,PUDUCHERRY,3500,7499.536072
2004,TELANGANA,79916,161790.0669
2005,ANDHRA PRADESH,128150,227457.9878
2005,ARUNACHAL PRADESH,3281,6735.169376
2005,ASSAM,48602,93915.07735
2005,BIHAR,68419,120702.7142
2005,GOA,11916,19455.9579
2005,GUJARAT,197270,311996.4363
2005,HARYANA,94011,160804.8717
2005,HIMACHAL PRADESH,23009,41021.14045
2005,JAMMU & KASHMIR,24371,46834.04969
2005,JHARKHAND,50678,86858.23664
2005,KARNATAKA,164031,366994.5634
2005,KERALA,115500,214150.4423
2005,MADHYA PRADESH,104975,174775.3286
2005,CHHATTISGARH,42063,86399.03557
2005,MAHARASHTRA,423632,685815.4186
2005,MANIPUR,4907,8801.529476
2005,MEGHALAYA,6303,11028.87353
2005,MIZORAM,2577,3746.449035
2005,NAGALAND,5986,6799.724895
2005,ORISSA,71005,139933.8705
2005,PUNJAB,90330,157747.6323
2005,RAJASTHAN,120202,234376.381
2005,SIKKIM,1662,3560.07124
2005,TAMIL NADU,221588,386683.409
2005,TRIPURA,8708,10518.31718
2005,UTTAR PRADESH,244514,431731.251
2005,UTTARAKHAND,25448,49190.07507
2005,WEST BENGAL,201994,330248.8003
2005,ANDAMAN & NICOBAR ISLANDS,1720,1706.464588
2005,CHANDIGARH,8442,11951.08788
2005,DELHI,104473,181895.007
2005,PUDUCHERRY,6375,9499.213682
2005,TELANGANA,92751,187774.5445
2006,ANDHRA PRADESH,141610,251348.62
2006,ARUNACHAL PRADESH,3458,7098.511339
2006,ASSAM,50797,98156.54056
2006,BIHAR,80260,141592.2454
2006,GOA,13085,21364.65334
2006,GUJARAT,213954,338383.3605
2006,HARYANA,104700,179088.2989
2006,HIMACHAL PRADESH,24819,44248.06314
2006,JAMMU & KASHMIR,25794,49568.64625
2006,JHARKHAND,51527,88313.35805
2006,KARNATAKA,181086,405152.5475
2006,KERALA,124625,231069.2543
2006,MADHYA PRADESH,114545,190708.645
2006,CHHATTISGARH,50065,102835.4543
2006,MAHARASHTRA,481983,780279.5183
2006,MANIPUR,4992,8953.991266
2006,MEGHALAYA,6778,11860.0198
2006,MIZORAM,2693,3915.090125
2006,NAGALAND,6454,7331.343881
2006,ORISSA,79845,157355.3959
2006,PUNJAB,100072,174760.5564
2006,RAJASTHAN,134350,261962.9189
2006,SIKKIM,1760,3769.991205
2006,TAMIL NADU,256286,447233.3528
2006,TRIPURA,9458,11424.23563
2006,UTTAR PRADESH,263935,466022.3453
2006,UTTARAKHAND,28514,55116.54357
2006,WEST BENGAL,217849,356170.8313
2006,ANDAMAN & NICOBAR ISLANDS,2029,2013.032935
2006,CHANDIGARH,9690,13717.8443
2006,DELHI,117444,204478.4509
2006,PUDUCHERRY,6614,9855.341065
2006,TELANGANA,102977,208477.0974
2007,ANDHRA PRADESH,159270,282693.9814
2007,ARUNACHAL PRADESH,3873,7950.41481
2007,ASSAM,52968,102351.6279
2007,BIHAR,84415,148922.3698
2007,GOA,13655,22295.32604
2007,GUJARAT,239253,378395.5156
2007,HARYANA,112896,193107.4746
2007,HIMACHAL PRADESH,26362,46998.97017
2007,JAMMU & KASHMIR,27387,52629.93389
2007,JHARKHAND,63005,107985.7769
2007,KARNATAKA,203810,455994.0619
2007,KERALA,135747,251690.7367
2007,MADHYA PRADESH,119958,199720.8751
2007,CHHATTISGARH,54112,111148.1495
2007,MAHARASHTRA,538081,871096.2492
2007,MANIPUR,5267,9447.25
2007,MEGHALAYA,6991,12232.72328
2007,MIZORAM,2988,4343.961862
2007,NAGALAND,6978,7926.575396
2007,ORISSA,86692,170849.1951
2007,PUNJAB,108738,189894.4099
2007,RAJASTHAN,140471,273897.9768
2007,SIKKIM,1862,3988.479332
2007,TAMIL NADU,272340,475248.4774
2007,TRIPURA,10082,12177.95978
2007,UTTAR PRADESH,280851,495890.434
2007,UTTARAKHAND,33498,64750.43755
2007,WEST BENGAL,234798,383881.4906
2007,ANDAMAN & NICOBAR ISLANDS,2238,2220.388225
2007,CHANDIGARH,10405,14730.0485
2007,DELHI,130683,227528.5021
2007,PUDUCHERRY,7137,10634.64911
2007,TELANGANA,113456,229691.8493
2008,ANDHRA PRADESH,163341,289919.744
2008,ARUNACHAL PRADESH,4191,8603.198675
2008,ASSAM,56123,108448.1274
2008,BIHAR,97284,171625.4673
2008,GOA,14728,24047.2766
2008,GUJARAT,249480,394570.2384
2008,HARYANA,121588,207975.0533
2008,HIMACHAL PRADESH,27649,49293.47265
2008,JAMMU & KASHMIR,29102,55925.67043
2008,JHARKHAND,60472,103644.4076
2008,KARNATAKA,218309,488433.3824
2008,KERALA,144094,267167.0462
2008,MADHYA PRADESH,135124,224971.1026
2008,CHHATTISGARH,57662,118439.9874
2008,MAHARASHTRA,546533,884779.1436
2008,MANIPUR,5652,10137.81223
2008,MEGHALAYA,7889,13804.02718
2008,MIZORAM,3437,4996.719183
2008,NAGALAND,7422,8430.93187
2008,ORISSA,93207,183688.7017
2008,PUNJAB,114766,200421.3968
2008,RAJASTHAN,152284,296931.6051
2008,SIKKIM,2106,4511.137203
2008,TAMIL NADU,286744,500384.2602
2008,TRIPURA,11146,13463.15609
2008,UTTAR PRADESH,302192,533571.6164
2008,UTTARAKHAND,37064,71643.38819
2008,WEST BENGAL,244262,399354.597
2008,ANDAMAN & NICOBAR ISLANDS,2579,2558.704751
2008,CHANDIGARH,11187,15837.1026
2008,DELHI,146961,255869.6708
2008,PUDUCHERRY,7792,11610.64675
2008,TELANGANA,128918,260994.6925
2009,ANDHRA PRADESH,174401,309550.5309
2009,ARUNACHAL PRADESH,4539,9317.565924
2009,ASSAM,61294,118440.2031
2009,BIHAR,101938,179835.9122
2009,GOA,16119,26318.44456
2009,GUJARAT,284732,450323.7659
2009,HARYANA,136780,233960.8168
2009,HIMACHAL PRADESH,29149,51967.71798
2009,JAMMU & KASHMIR,30512,58635.28473
2009,JHARKHAND,66465,113915.9536
2009,KARNATAKA,218363,488554.1992
2009,KERALA,157123,291324.3285
2009,MADHYA PRADESH,147933,246297.1058
2009,CHHATTISGARH,59263,121728.5036
2009,MAHARASHTRA,599338,970264.8557
2009,MANIPUR,6039,10831.96179
2009,MEGHALAYA,8396,14691.16646
2009,MIZORAM,3832,5570.971169
2009,NAGALAND,7842,8908.025831
2009,ORISSA,93957,185166.7723
2009,PUNJAB,122097,213223.8754
2009,RAJASTHAN,161159,314236.5616
2009,SIKKIM,3659,7837.726033
2009,TAMIL NADU,316760,552763.853
2009,TRIPURA,12287,14841.36003
2009,UTTAR PRADESH,320989,566760.9321
2009,UTTARAKHAND,43407,83904.18063
2009,WEST BENGAL,263230,430366.2074
2009,ANDAMAN & NICOBAR ISLANDS,2911,2888.092101
2009,CHANDIGARH,11767,16658.19132
2009,DELHI,159044,276907.0429
2009,PUDUCHERRY,9197,13704.19894
2009,TELANGANA,129267,261701.2435
2010,ANDHRA PRADESH,186041,330210.7804
2010,ARUNACHAL PRADESH,4735,9719.910696
2010,ASSAM,64310,124268.1088
2010,BIHAR,117503,207295.2107
2010,GOA,19293,31500.82207
2010,GUJARAT,315892,499605.5064
2010,HARYANA,146053,249822.1902
2010,HIMACHAL PRADESH,31590,56319.60654
2010,JAMMU & KASHMIR,32256,61986.75093
2010,JHARKHAND,76134,130487.8841
2010,KARNATAKA,240817,538791.6295
2010,KERALA,167178,309967.4688
2010,MADHYA PRADESH,155701,259230.2304
2010,CHHATTISGARH,64977,133465.2815
2010,MAHARASHTRA,667625,1080814.289
2010,MANIPUR,5862,10514.48253
2010,MEGHALAYA,9226,16143.4852
2010,MIZORAM,4539,6598.809535
2010,NAGALAND,8587,9754.299645
2010,ORISSA,99880,196839.5885
2010,PUNJAB,129983,226995.5773
2010,RAJASTHAN,185366,361436.6835
2010,SIKKIM,4028,8628.138962
2010,TAMIL NADU,359961,628152.0055
2010,TRIPURA,13215,15962.28313
2010,UTTAR PRADESH,346621,612018.6082
2010,UTTARAKHAND,47967,92718.49776
2010,WEST BENGAL,279191,456461.5425
2010,ANDAMAN & NICOBAR ISLANDS,3164,3139.101137
2010,CHANDIGARH,11765,16655.35998
2010,DELHI,172235,299873.5226
2010,PUDUCHERRY,9812,14620.59367
2010,TELANGANA,152123,307973.2512
2011,ANDHRA PRADESH,191554,339996
